,filename,cgpa,sgpa
302,/content/btech/found/23010106016_1800265980.html,7.35,7.35
303,/content/btech/found/21021003008_1800265591.html,5.73,4.92
304,/content/btech/found/22010101041_1800265786.html,4.63,4.63
305,/content/btech/found/21010505048_1800265531.html,5.99,5.50
306,/content/btech/found/21010501052_1800265329.html,6.04,6.04
307,/content/btech/found/21010903006_1800265299.html,2.44,2.21
308,/content/btech/found/22010205020_1800265901.html,0.59,0.69
309,/content/btech/found/23020401001_1800265930.html,7.15,7.15
310,/content/btech/found/23010104052_1800265989.html,6.74,6.74
311,/content/btech/found/22011103022_1800266009.html,6.89189189189189,7
312,/content/btech/found/20010104042_1800265817.html,7.84,7.35
313,/content/btech/found/21010501043_1800265329.html,8.17,8.17
314,/content/btech/found/22010101010_1800265929.html,2.29,1.29
315,/content/btech/found/20010701004_1800265790.html,7.26,6.71
316,/content/btech/found/23010406009_1800265980.html,2.61,2.61
317,/content/btech/found/22010101031_1800265812.html,4.92,4.79
318,/content/btech/found/20010501017_1800265934.html,7.24,7.65
319,/content/btech/found/21010603056_1800265299.html,7.69,6.67
320,/content/btech/found/20010501028_1800265814.html,5.48,2.04
321,/content/btech/found/22010204026_1800265984.html,5.15,4.73
322,/content/btech/found/22010101021_1800265467.html,5.96,5.96
323,/content/btech/found/23021101003_1800265930.html,1.85,1.85
324,/content/btech/found/22010304061_1800265982.html,4.54,4.54
325,/content/btech/found/20010501039_1800265814.html,5.73,5.11
326,/content/btech/found/20010301055_1800265469.html,7.04,6.04
327,/content/btech/found/20010505043_1800265774.html,5.20,4.52
328,/content/btech/found/20010401020_1800265814.html,5.07,3.70
329,/content/btech/found/22011203021_1800265758.html,2.60,2.71
330,/content/btech/found/21010203013_1800265759.html,5.46,4.77
331,/content/btech/found/21010401032_1800265813.html,6.42,5.92
332,/content/btech/found/21010603019_1800265362.html,4.50,4.50
333,/content/btech/found/21010203045_1800266011.html,7.73770491803279,8.70833333333333
334,/content/btech/found/20010505018_1800265905.html,5.40,4.85
335,/content/btech/found/22010501060_1800265812.html,2.33,1.96
336,/content/btech/found/20010305036_1800265275.html,7.93,7.92
337,/content/btech/found/20010104057_1800265986.html,2.69,0.00
338,/content/btech/found/20011201003_1800265790.html,5.47,3.33
339,/content/btech/found/22015103006_1800266019.html,7.46,8.07
340,/content/btech/found/21010305009_1800265531.html,5.89,5.38
341,/content/btech/found/1902051035_1800265532.html,7.21,7.60
342,/content/btech/found/21010203046_1800265760.html,7.54,7.50
